Time: 2019-Dec-03__16_08_16PM2.5: 0.0  PM10: 0.0
Time: 2019-Dec-03__16_08_18PM2.5: 0.3  PM10: 1.6
Time: 2019-Dec-03__16_08_20PM2.5: 0.4  PM10: 0.9
Time: 2019-Dec-03__16_08_22PM2.5: 0.5  PM10: 1.0
Time: 2019-Dec-03__16_08_24PM2.5: 0.5  PM10: 0.8
Time: 2019-Dec-03__16_08_26PM2.5: 0.6  PM10: 1.4
Time: 2019-Dec-03__16_08_28PM2.5: 0.6  PM10: 1.2
Time: 2019-Dec-03__16_08_30PM2.5: 0.6  PM10: 1.1
Time: 2019-Dec-03__16_08_33PM2.5: 0.5  PM10: 1.0
Time: 2019-Dec-03__16_08_35PM2.5: 0.5  PM10: 0.9
Time: 2019-Dec-03__16_08_37PM2.5: 0.6  PM10: 0.9
Time: 2019-Dec-03__16_08_39PM2.5: 0.6  PM10: 0.9
Time: 2019-Dec-03__16_08_41PM2.5: 0.6  PM10: 1.0
Time: 2019-Dec-03__16_08_43PM2.5: 0.6  PM10: 0.9
Time: 2019-Dec-03__16_08_45PM2.5: 0.6  PM10: 0.9
