Time: 2019-Dec-05__16_03_24PM2.5: 0.4  PM10: 1.2
Time: 2019-Dec-05__16_03_26PM2.5: 0.5  PM10: 2.0
Time: 2019-Dec-05__16_03_28PM2.5: 0.4  PM10: 1.9
Time: 2019-Dec-05__16_03_30PM2.5: 0.5  PM10: 1.8
Time: 2019-Dec-05__16_03_33PM2.5: 0.4  PM10: 1.7
Time: 2019-Dec-05__16_03_35PM2.5: 0.5  PM10: 2.7
Time: 2019-Dec-05__16_04_07PM2.5: 0.0  PM10: 0.0
Time: 2019-Dec-05__16_04_09PM2.5: 0.6  PM10: 2.3
Time: 2019-Dec-05__16_04_12PM2.5: 0.6  PM10: 1.3
Time: 2019-Dec-05__16_04_14PM2.5: 0.6  PM10: 1.0
Time: 2019-Dec-05__16_04_16PM2.5: 0.6  PM10: 1.0
Time: 2019-Dec-05__16_04_18PM2.5: 0.5  PM10: 0.9
Time: 2019-Dec-05__16_04_20PM2.5: 0.5  PM10: 0.8
Time: 2019-Dec-05__16_04_22PM2.5: 0.5  PM10: 0.7
Time: 2019-Dec-05__16_04_24PM2.5: 0.5  PM10: 0.6
Time: 2019-Dec-05__16_04_26PM2.5: 0.5  PM10: 0.6
Time: 2019-Dec-05__16_04_28PM2.5: 0.5  PM10: 0.6
Time: 2019-Dec-05__16_04_30PM2.5: 0.6  PM10: 0.8
Time: 2019-Dec-05__16_04_33PM2.5: 0.6  PM10: 0.8
Time: 2019-Dec-05__16_04_35PM2.5: 0.6  PM10: 0.8
Time: 2019-Dec-05__16_04_37PM2.5: 0.6  PM10: 0.8
Time: 2019-Dec-05__16_05_09PM2.5: 0.0  PM10: 0.0
Time: 2019-Dec-05__16_05_12PM2.5: 0.4  PM10: 9.6
Time: 2019-Dec-05__16_05_14PM2.5: 0.4  PM10: 4.9
Time: 2019-Dec-05__16_05_16PM2.5: 0.4  PM10: 3.4
Time: 2019-Dec-05__16_05_18PM2.5: 0.5  PM10: 2.5
Time: 2019-Dec-05__16_05_20PM2.5: 0.6  PM10: 2.2
Time: 2019-Dec-05__16_05_23PM2.5: 0.6  PM10: 2.0
Time: 2019-Dec-05__16_05_25PM2.5: 0.6  PM10: 1.8
Time: 2019-Dec-05__16_05_27PM2.5: 0.6  PM10: 1.6
Time: 2019-Dec-05__16_05_29PM2.5: 0.6  PM10: 1.5
Time: 2019-Dec-05__16_05_31PM2.5: 0.6  PM10: 1.4
Time: 2019-Dec-05__16_05_33PM2.5: 0.6  PM10: 1.3
Time: 2019-Dec-05__16_05_35PM2.5: 0.6  PM10: 1.2
Time: 2019-Dec-05__16_05_37PM2.5: 0.6  PM10: 1.2
Time: 2019-Dec-05__16_05_39PM2.5: 0.6  PM10: 1.1
Time: 2019-Dec-05__16_06_12PM2.5: 0.0  PM10: 0.0
Time: 2019-Dec-05__16_06_14PM2.5: 0.4  PM10: 0.4
Time: 2019-Dec-05__16_06_16PM2.5: 0.7  PM10: 0.7
Time: 2019-Dec-05__16_06_18PM2.5: 0.7  PM10: 0.7
Time: 2019-Dec-05__16_06_21PM2.5: 0.7  PM10: 0.7
Time: 2019-Dec-05__16_06_23PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_06_25PM2.5: 0.7  PM10: 0.7
