Time: 2019-Dec-07__15_51_32PM2.5: 15.1  PM10: 30.2
Time: 2019-Dec-07__15_51_34PM2.5: 14.6  PM10: 27.6
Time: 2019-Dec-07__15_51_36PM2.5: 14.7  PM10: 27.6
Time: 2019-Dec-07__15_51_38PM2.5: 14.2  PM10: 26.4
Time: 2019-Dec-07__15_51_40PM2.5: 14.1  PM10: 25.6
Time: 2019-Dec-07__15_51_42PM2.5: 13.9  PM10: 24.9
Time: 2019-Dec-07__15_51_44PM2.5: 13.9  PM10: 25.8
Time: 2019-Dec-07__15_51_46PM2.5: 13.8  PM10: 25.6
Time: 2019-Dec-07__15_51_48PM2.5: 14.1  PM10: 25.8
Time: 2019-Dec-07__15_51_51PM2.5: 14.3  PM10: 25.7
Time: 2019-Dec-07__15_51_53PM2.5: 14.1  PM10: 25.4
Time: 2019-Dec-07__15_51_55PM2.5: 14.3  PM10: 25.4
Time: 2019-Dec-07__15_51_57PM2.5: 13.9  PM10: 24.6
Time: 2019-Dec-07__15_51_59PM2.5: 13.8  PM10: 24.6
Time: 2019-Dec-09__11_33_51PM2.5: 13.7  PM10: 24.8
Time: 2019-Dec-09__11_34_23PM2.5: 0.0  PM10: 0.0
Time: 2019-Dec-09__11_34_25PM2.5: 9.4  PM10: 15.5
Time: 2019-Dec-09__11_34_27PM2.5: 11.9  PM10: 17.2
Time: 2019-Dec-09__11_34_30PM2.5: 12.4  PM10: 20.3
Time: 2019-Dec-09__11_34_32PM2.5: 12.3  PM10: 20.0
Time: 2019-Dec-09__11_34_34PM2.5: 12.5  PM10: 19.5
Time: 2019-Dec-09__11_34_36PM2.5: 12.4  PM10: 20.3
Time: 2019-Dec-09__11_34_38PM2.5: 12.9  PM10: 21.0
Time: 2019-Dec-09__11_34_40PM2.5: 13.0  PM10: 21.2
Time: 2019-Dec-09__11_34_42PM2.5: 13.0  PM10: 21.2
Time: 2019-Dec-09__11_34_44PM2.5: 13.1  PM10: 21.4
Time: 2019-Dec-09__11_34_46PM2.5: 13.0  PM10: 21.4
Time: 2019-Dec-09__11_34_49PM2.5: 13.0  PM10: 20.9
Time: 2019-Dec-09__11_34_51PM2.5: 12.9  PM10: 20.8
Time: 2019-Dec-09__11_34_53PM2.5: 13.1  PM10: 21.4
Time: 2019-Dec-09__11_35_26PM2.5: 0.0  PM10: 0.0
Time: 2019-Dec-09__11_35_28PM2.5: 9.4  PM10: 16.2
Time: 2019-Dec-09__11_35_30PM2.5: 11.1  PM10: 18.4
Time: 2019-Dec-09__11_35_32PM2.5: 11.6  PM10: 20.1
Time: 2019-Dec-09__11_35_34PM2.5: 12.4  PM10: 24.2
Time: 2019-Dec-09__11_35_36PM2.5: 12.7  PM10: 24.2
Time: 2019-Dec-09__11_35_38PM2.5: 12.7  PM10: 23.5
Time: 2019-Dec-09__11_35_40PM2.5: 12.7  PM10: 23.1
Time: 2019-Dec-09__11_35_42PM2.5: 12.8  PM10: 22.6
Time: 2019-Dec-09__11_35_44PM2.5: 12.7  PM10: 22.8
Time: 2019-Dec-09__11_35_47PM2.5: 12.9  PM10: 23.2
Time: 2019-Dec-09__11_35_49PM2.5: 12.9  PM10: 24.3
Time: 2019-Dec-09__11_35_51PM2.5: 12.9  PM10: 24.0
Time: 2019-Dec-09__11_35_53PM2.5: 13.1  PM10: 24.2
Time: 2019-Dec-09__11_35_55PM2.5: 13.1  PM10: 25.1
Time: 2019-Dec-09__11_36_28PM2.5: 0.0  PM10: 0.0
Time: 2019-Dec-09__11_36_30PM2.5: 12.1  PM10: 18.0
Time: 2019-Dec-09__11_36_32PM2.5: 12.7  PM10: 21.1
Time: 2019-Dec-09__11_36_34PM2.5: 12.4  PM10: 19.5
Time: 2019-Dec-09__11_36_36PM2.5: 12.5  PM10: 20.6
Time: 2019-Dec-09__11_36_38PM2.5: 12.6  PM10: 20.4
Time: 2019-Dec-09__11_36_40PM2.5: 12.4  PM10: 19.5
Time: 2019-Dec-09__11_36_42PM2.5: 12.4  PM10: 19.4
Time: 2019-Dec-09__11_36_45PM2.5: 12.4  PM10: 21.4
Time: 2019-Dec-09__11_36_47PM2.5: 12.2  PM10: 21.0
Time: 2019-Dec-09__11_36_49PM2.5: 12.2  PM10: 21.5
Time: 2019-Dec-09__11_36_51PM2.5: 12.3  PM10: 21.3
Time: 2019-Dec-09__11_36_53PM2.5: 12.0  PM10: 20.7
Time: 2019-Dec-09__11_36_55PM2.5: 12.3  PM10: 20.9
Time: 2019-Dec-09__11_36_57PM2.5: 12.3  PM10: 20.7
Time: 2019-Dec-09__11_37_30PM2.5: 0.0  PM10: 0.0
Time: 2019-Dec-09__11_37_32PM2.5: 8.8  PM10: 17.0
Time: 2019-Dec-09__11_37_34PM2.5: 11.5  PM10: 23.7
Time: 2019-Dec-09__11_37_36PM2.5: 12.2  PM10: 23.9
Time: 2019-Dec-09__11_37_38PM2.5: 12.4  PM10: 26.5
Time: 2019-Dec-09__11_37_40PM2.5: 12.3  PM10: 25.5
Time: 2019-Dec-09__11_37_42PM2.5: 12.8  PM10: 24.5
