Time: 2019-Nov-25__15_26_43PM2.5: 0.6  PM10: 1.9
Time: 2019-Nov-25__15_26_45PM2.5: 0.6  PM10: 2.7
Time: 2019-Nov-25__15_26_47PM2.5: 0.7  PM10: 2.5
Time: 2019-Nov-25__15_26_49PM2.5: 0.7  PM10: 2.4
Time: 2019-Nov-25__15_26_51PM2.5: 0.6  PM10: 2.2
Time: 2019-Nov-25__15_27_24PM2.5: 0.0  PM10: 0.0
Time: 2019-Nov-25__15_27_26PM2.5: 0.7  PM10: 1.2
Time: 2019-Nov-25__15_27_28PM2.5: 0.6  PM10: 0.9
Time: 2019-Nov-25__15_27_30PM2.5: 0.7  PM10: 0.9
Time: 2019-Nov-25__15_27_32PM2.5: 0.6  PM10: 0.7
Time: 2019-Nov-25__15_27_35PM2.5: 0.6  PM10: 0.7
Time: 2019-Nov-25__15_27_37PM2.5: 0.6  PM10: 0.8
Time: 2019-Nov-25__15_27_39PM2.5: 0.7  PM10: 0.8
Time: 2019-Nov-25__15_27_41PM2.5: 0.7  PM10: 0.8
Time: 2019-Nov-25__15_27_43PM2.5: 0.7  PM10: 0.8
Time: 2019-Nov-25__15_27_45PM2.5: 0.7  PM10: 0.8
Time: 2019-Nov-25__15_27_47PM2.5: 0.7  PM10: 0.8
Time: 2019-Nov-25__15_27_49PM2.5: 0.7  PM10: 0.8
Time: 2019-Nov-25__15_27_51PM2.5: 0.7  PM10: 0.8
Time: 2019-Nov-25__15_27_53PM2.5: 0.7  PM10: 0.8
Time: 2019-Nov-25__15_28_26PM2.5: 0.0  PM10: 0.0
Time: 2019-Nov-25__15_28_28PM2.5: 0.2  PM10: 0.2
Time: 2019-Nov-25__15_28_30PM2.5: 0.4  PM10: 0.4
Time: 2019-Nov-25__15_28_32PM2.5: 0.4  PM10: 0.4
Time: 2019-Nov-25__15_28_35PM2.5: 0.5  PM10: 0.5
Time: 2019-Nov-25__15_28_37PM2.5: 0.5  PM10: 0.5
Time: 2019-Nov-25__15_28_39PM2.5: 0.6  PM10: 0.6
Time: 2019-Nov-25__15_28_41PM2.5: 0.6  PM10: 0.6
Time: 2019-Nov-25__15_28_43PM2.5: 0.6  PM10: 0.6
Time: 2019-Nov-25__15_28_45PM2.5: 0.7  PM10: 0.7
Time: 2019-Nov-25__15_28_47PM2.5: 0.6  PM10: 0.6
Time: 2019-Nov-25__15_28_49PM2.5: 0.6  PM10: 0.6
Time: 2019-Nov-25__15_28_51PM2.5: 0.6  PM10: 0.6
